Id,ActivityHour,Calories
1503960366,2016-4-12 00:00,81
1503960366,2016-4-12 01:00,61
1503960366,2016-4-12 02:00,59
1503960366,2016-4-12 03:00,47
1503960366,2016-4-12 04:00,48
1503960366,2016-4-12 05:00,48
1503960366,2016-4-12 06:00,48
1503960366,2016-4-12 07:00,47
1503960366,2016-4-12 08:00,68
1503960366,2016-4-12 09:00,141
1503960366,2016-4-12 10:00,99
1503960366,2016-4-12 11:00,76
1503960366,2016-4-12 12:00,73
1503960366,2016-4-12 13:00,66
1503960366,2016-4-12 14:00,110
1503960366,2016-4-12 15:00,151
1503960366,2016-4-12 16:00,76
1503960366,2016-4-12 17:00,83
1503960366,2016-4-12 18:00,124
1503960366,2016-4-12 19:00,104
1503960366,2016-4-12 20:00,132
1503960366,2016-4-12 21:00,100
1503960366,2016-4-12 22:00,65
1503960366,2016-4-12 23:00,81
1503960366,2016-4-13 00:00,69
1503960366,2016-4-13 01:00,48
1503960366,2016-4-13 02:00,47
1503960366,2016-4-13 03:00,53
1503960366,2016-4-13 04:00,47
1503960366,2016-4-13 05:00,47
1503960366,2016-4-13 06:00,48
1503960366,2016-4-13 07:00,59
1503960366,2016-4-13 08:00,69
1503960366,2016-4-13 09:00,136
1503960366,2016-4-13 10:00,77
1503960366,2016-4-13 11:00,84
1503960366,2016-4-13 12:00,82
1503960366,2016-4-13 13:00,72
1503960366,2016-4-13 14:00,128
1503960366,2016-4-13 15:00,79
1503960366,2016-4-13 16:00,71
1503960366,2016-4-13 17:00,87
1503960366,2016-4-13 18:00,118
1503960366,2016-4-13 19:00,73
1503960366,2016-4-13 20:00,47
1503960366,2016-4-13 21:00,48
1503960366,2016-4-13 22:00,74
1503960366,2016-4-13 23:00,135
1503960366,2016-4-14 00:00,56
1503960366,2016-4-14 01:00,54
1503960366,2016-4-14 02:00,47
1503960366,2016-4-14 03:00,47
1503960366,2016-4-14 04:00,47
1503960366,2016-4-14 05:00,47
1503960366,2016-4-14 06:00,47
1503960366,2016-4-14 07:00,47
1503960366,2016-4-14 08:00,47
1503960366,2016-4-14 09:00,93
1503960366,2016-4-14 10:00,109
1503960366,2016-4-14 11:00,64
1503960366,2016-4-14 12:00,85
1503960366,2016-4-14 13:00,137
1503960366,2016-4-14 14:00,113
1503960366,2016-4-14 15:00,66
1503960366,2016-4-14 16:00,88
1503960366,2016-4-14 17:00,61
1503960366,2016-4-14 18:00,72
1503960366,2016-4-14 19:00,55
1503960366,2016-4-14 20:00,91
1503960366,2016-4-14 21:00,174
1503960366,2016-4-14 22:00,79
1503960366,2016-4-14 23:00,50
1503960366,2016-4-15 00:00,60
1503960366,2016-4-15 01:00,58
1503960366,2016-4-15 02:00,59
1503960366,2016-4-15 03:00,47
1503960366,2016-4-15 04:00,47
1503960366,2016-4-15 05:00,49
1503960366,2016-4-15 06:00,47
