Id,ActivityHour,TotalIntensity,AverageIntensity
1503960366,2016-4-15 2:00,7,0.116667
1503960366,2016-4-15 3:00,0,0
1503960366,2016-4-15 4:00,0,0
1503960366,2016-4-15 5:00,1,0.016667
1503960366,2016-4-15 6:00,0,0
1503960366,2016-4-15 7:00,1,0.016667
1503960366,2016-4-15 8:00,5,0.083333
1503960366,2016-4-15 9:00,2,0.033333
1503960366,2016-4-15 10:00,8,0.133333
1503960366,2016-4-15 11:00,23,0.383333
1503960366,2016-4-15 12:00,13,0.216667
1503960366,2016-4-15 13:00,9,0.15
1503960366,2016-4-15 14:00,0,0
1503960366,2016-4-15 15:00,0,0
1503960366,2016-4-15 16:00,0,0
1503960366,2016-4-15 17:00,47,0.783333
1503960366,2016-4-15 18:00,22,0.366667
1503960366,2016-4-15 19:00,32,0.533333
1503960366,2016-4-15 20:00,8,0.133333
1503960366,2016-4-15 21:00,14,0.233333
1503960366,2016-4-15 22:00,66,1.1
1503960366,2016-4-15 23:00,95,1.583333
1503960366,2016-4-16 0:00,15,0.25
1503960366,2016-4-16 1:00,0,0
1503960366,2016-4-16 2:00,3,0.05
1503960366,2016-4-16 3:00,1,0.016667
1503960366,2016-4-16 4:00,1,0.016667
1503960366,2016-4-16 5:00,1,0.016667
1503960366,2016-4-16 6:00,0,0
1503960366,2016-4-16 7:00,4,0.066667
1503960366,2016-4-16 8:00,9,0.15
1503960366,2016-4-16 9:00,38,0.633333
1503960366,2016-4-16 10:00,14,0.233333
1503960366,2016-4-16 11:00,30,0.5
1503960366,2016-4-16 12:00,42,0.7
1503960366,2016-4-16 13:00,90,1.5
1503960366,2016-4-16 14:00,20,0.333333
1503960366,2016-4-16 15:00,0,0
1503960366,2016-4-16 16:00,2,0.033333
1503960366,2016-4-16 17:00,17,0.283333
1503960366,2016-4-16 18:00,10,0.166667
1503960366,2016-4-16 19:00,12,0.2
1503960366,2016-4-16 20:00,19,0.316667
1503960366,2016-4-16 21:00,13,0.216667
1503960366,2016-4-16 22:00,3,0.05
1503960366,2016-4-16 23:00,5,0.083333
1503960366,2016-4-17 0:00,0,0
1503960366,2016-4-17 1:00,0,0
1503960366,2016-4-17 2:00,0,0
